signal_id,symbol,signal_timestamp_utc,signal_timestamp_et,direction,confidence,regime_state,entry_model,entry_price,entry_filled,stop_price,stop_filled,target1_price,target2_price,actual_exit_price,outcome_type,holding_time_seconds,pnl_ticks,risk_ticks,r_multiple,mae_ticks,mfe_ticks,max_adverse_time,max_favorable_time,delta_before,delta_after,reclaim_strength,displacement_ticks,absorption_strength,volatility_state,trend_state,timeout_flag
1,ESM6,2026-05-04T19:10:38.674Z,2026-05-04T15:10:38.674000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.25,7239.25,7216.25,7205.25,7227.75,TIMEOUT,1800,0.25,11.25,0.022222,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
2,ESM6,2026-05-04T19:10:39.166Z,2026-05-04T15:10:39.166000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7238.00,7239.00,7216.00,7205.00,7227.50,TIMEOUT,1800,0.25,11.25,0.022222,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,HIGH,CONFIRMING,YES
3,ESM6,2026-05-04T19:10:39.203Z,2026-05-04T15:10:39.203000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.25,7239.25,7216.25,7205.25,7227.50,TIMEOUT,1800,0.50,11.25,0.044444,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
4,ESM6,2026-05-04T19:10:54.697Z,2026-05-04T15:10:54.697000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.25,7239.25,7216.25,7205.25,7227.75,TIMEOUT,1800,0.25,11.25,0.022222,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
5,ESM6,2026-05-04T19:11:54.314Z,2026-05-04T15:11:54.314000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7238.00,7239.00,7216.00,7205.00,7227.00,TIMEOUT,1800,0.75,11.25,0.066667,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,HIGH,CONFIRMING,YES
6,ESM6,2026-05-04T19:11:54.325Z,2026-05-04T15:11:54.325000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7238.00,7239.00,7216.00,7205.00,7227.00,TIMEOUT,1800,0.75,11.25,0.066667,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,HIGH,CONFIRMING,YES
7,ESM6,2026-05-04T19:11:55.159Z,2026-05-04T15:11:55.159000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7238.00,7239.00,7216.00,7205.00,7227.00,TIMEOUT,1800,0.75,11.25,0.066667,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,HIGH,CONFIRMING,YES
8,ESM6,2026-05-04T19:11:55.695Z,2026-05-04T15:11:55.695000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.25,7239.25,7216.25,7205.25,7227.00,TIMEOUT,1800,1.00,11.25,0.088889,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
9,ESM6,2026-05-04T19:11:55.706Z,2026-05-04T15:11:55.706000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.25,7239.25,7216.25,7205.25,7227.00,TIMEOUT,1800,1.00,11.25,0.088889,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
10,ESM6,2026-05-04T19:11:55.744Z,2026-05-04T15:11:55.744000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.50,7239.50,7216.00,7204.75,7227.00,TIMEOUT,1800,1.00,11.50,0.086957,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
11,ESM6,2026-05-04T19:11:59.783Z,2026-05-04T15:11:59.783000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.25,7239.25,7216.25,7205.25,7226.50,TIMEOUT,1800,1.50,11.25,0.133333,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
12,ESM6,2026-05-04T19:12:06.770Z,2026-05-04T15:12:06.770000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.25,7239.25,7216.25,7205.25,7226.75,TIMEOUT,1800,1.25,11.25,0.111111,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
13,ESM6,2026-05-04T19:12:17.846Z,2026-05-04T15:12:17.846000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.50,7239.50,7216.00,7204.75,7226.50,TIMEOUT,1800,1.50,11.50,0.130435,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
14,ESM6,2026-05-04T19:12:21.430Z,2026-05-04T15:12:21.430000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7238.50,7239.50,7216.00,7204.75,7226.25,TIMEOUT,1800,1.75,11.50,0.152174,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
15,ESM6,2026-05-04T19:20:40.350Z,2026-05-04T15:20:40.350000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7236.75,7237.75,7217.75,7208.25,7227.00,TIMEOUT,1800,1.00,9.75,0.102564,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
16,ESM6,2026-05-04T19:20:41.407Z,2026-05-04T15:20:41.407000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7236.25,7237.25,7218.25,7209.25,7226.50,TIMEOUT,1800,1.50,9.25,0.162162,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,HIGH,CONFIRMING,YES
17,ESM6,2026-05-04T19:22:31.212Z,2026-05-04T15:22:31.212000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.75,7233.75,7221.75,7216.25,7224.50,TIMEOUT,1800,3.50,5.75,0.608696,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
18,ESM6,2026-05-04T19:22:35.849Z,2026-05-04T15:22:35.849000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.75,7233.75,7221.75,7216.25,7224.75,TIMEOUT,1800,3.25,5.75,0.565217,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
19,ESM6,2026-05-04T19:22:38.842Z,2026-05-04T15:22:38.842000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7232.25,7233.25,7221.25,7215.75,7224.75,TIMEOUT,1800,2.75,5.75,0.478261,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,LOW,WEAK,YES
20,ESM6,2026-05-04T19:22:40.045Z,2026-05-04T15:22:40.045000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7232.50,7233.50,7221.50,7216.00,7224.50,TIMEOUT,1800,3.25,5.75,0.565217,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,LOW,CONFIRMING,YES
21,ESM6,2026-05-04T19:22:40.048Z,2026-05-04T15:22:40.048000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7232.50,7233.50,7221.50,7216.00,7224.50,TIMEOUT,1800,3.25,5.75,0.565217,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,LOW,CONFIRMING,YES
22,ESM6,2026-05-04T19:22:40.624Z,2026-05-04T15:22:40.624000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.75,7233.75,7221.75,7216.25,7224.75,TIMEOUT,1800,3.25,5.75,0.565217,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
23,ESM6,2026-05-04T19:22:55.840Z,2026-05-04T15:22:55.840000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7231.25,7232.25,7222.25,7217.75,7224.50,TIMEOUT,1800,3.00,4.75,0.631579,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,LOW,WEAK,YES
24,ESM6,2026-05-04T19:22:55.848Z,2026-05-04T15:22:55.848000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7231.25,7232.25,7222.25,7217.75,7224.50,TIMEOUT,1800,3.00,4.75,0.631579,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,LOW,WEAK,YES
25,ESM6,2026-05-04T19:22:57.143Z,2026-05-04T15:22:57.143000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7231.50,7232.50,7222.50,7218.00,7224.50,TIMEOUT,1800,3.25,4.75,0.684211,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,LOW,CONFIRMING,YES
26,ESM6,2026-05-04T19:23:01.678Z,2026-05-04T15:23:01.678000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.25,7232.25,7221.75,7217.00,7223.75,TIMEOUT,1800,3.50,5.00,0.700000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
27,ESM6,2026-05-04T19:23:01.686Z,2026-05-04T15:23:01.686000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.25,7232.25,7221.75,7217.00,7223.75,TIMEOUT,1800,3.50,5.00,0.700000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
28,ESM6,2026-05-04T19:23:06.289Z,2026-05-04T15:23:06.289000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7231.50,7232.50,7222.00,7217.25,7224.00,TIMEOUT,1800,3.50,5.00,0.700000,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,LOW,WEAK,YES
29,ESM6,2026-05-04T19:23:07.217Z,2026-05-04T15:23:07.217000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7231.75,7232.75,7222.25,7217.50,7224.25,TIMEOUT,1800,3.50,5.00,0.700000,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,LOW,CONFIRMING,YES
30,ESM6,2026-05-04T19:23:07.572Z,2026-05-04T15:23:07.572000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.25,TIMEOUT,1800,3.75,5.00,0.750000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
31,ESM6,2026-05-04T19:23:08.229Z,2026-05-04T15:23:08.229000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.25,TIMEOUT,1800,3.75,5.00,0.750000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
32,ESM6,2026-05-04T19:23:08.384Z,2026-05-04T15:23:08.384000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.25,7233.25,7222.25,7217.25,7224.25,TIMEOUT,1800,3.75,5.25,0.714286,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
33,ESM6,2026-05-04T19:23:08.766Z,2026-05-04T15:23:08.766000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.50,TIMEOUT,1800,3.50,5.00,0.700000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
34,ESM6,2026-05-04T19:23:10.737Z,2026-05-04T15:23:10.737000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
35,ESM6,2026-05-04T19:23:13.370Z,2026-05-04T15:23:13.370000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.00,TIMEOUT,1800,4.00,5.00,0.800000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
36,ESM6,2026-05-04T19:23:16.625Z,2026-05-04T15:23:16.625000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.25,TIMEOUT,1800,3.75,5.00,0.750000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
37,ESM6,2026-05-04T19:23:17.177Z,2026-05-04T15:23:17.177000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
38,ESM6,2026-05-04T19:23:17.407Z,2026-05-04T15:23:17.407000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
39,ESM6,2026-05-04T19:23:21.687Z,2026-05-04T15:23:21.687000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7225.00,TIMEOUT,1800,3.00,5.00,0.600000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
40,ESM6,2026-05-04T19:23:21.793Z,2026-05-04T15:23:21.793000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7225.00,TIMEOUT,1800,3.00,5.00,0.600000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
41,ESM6,2026-05-04T19:23:25.141Z,2026-05-04T15:23:25.141000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7225.00,TIMEOUT,1800,3.00,5.00,0.600000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
42,ESM6,2026-05-04T19:23:29.048Z,2026-05-04T15:23:29.048000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7225.25,TIMEOUT,1800,2.75,5.00,0.550000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
43,ESM6,2026-05-04T19:23:30.969Z,2026-05-04T15:23:30.969000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
44,ESM6,2026-05-04T19:23:31.325Z,2026-05-04T15:23:31.325000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
45,ESM6,2026-05-04T19:23:31.657Z,2026-05-04T15:23:31.657000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
46,ESM6,2026-05-04T19:23:33.201Z,2026-05-04T15:23:33.201000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.25,7233.25,7222.25,7217.25,7224.00,TIMEOUT,1800,4.00,5.25,0.761905,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
47,ESM6,2026-05-04T19:25:41.975Z,2026-05-04T15:25:41.975000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7231.50,7232.50,7222.00,7217.25,7225.00,TIMEOUT,1800,2.50,5.00,0.500000,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,LOW,WEAK,YES
48,ESM6,2026-05-04T19:25:42.094Z,2026-05-04T15:25:42.094000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.25,7232.25,7221.75,7217.00,7225.00,TIMEOUT,1800,2.25,5.00,0.450000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
49,ESM6,2026-05-04T19:25:42.119Z,2026-05-04T15:25:42.119000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.25,7232.25,7221.75,7217.00,7225.00,TIMEOUT,1800,2.25,5.00,0.450000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
50,ESM6,2026-05-04T19:25:42.138Z,2026-05-04T15:25:42.138000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.25,7232.25,7221.75,7217.00,7225.00,TIMEOUT,1800,2.25,5.00,0.450000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
51,ESM6,2026-05-04T19:25:43.195Z,2026-05-04T15:25:43.195000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.75,7232.75,7221.25,7216.00,7224.50,TIMEOUT,1800,2.75,5.50,0.500000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
52,ESM6,2026-05-04T19:25:50.039Z,2026-05-04T15:25:50.039000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7234.25,7235.25,7218.75,7211.00,7225.25,TIMEOUT,1800,2.00,8.00,0.250000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,HIGH,WEAK,YES
53,ESM6,2026-05-04T19:25:50.744Z,2026-05-04T15:25:50.744000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.25,TIMEOUT,1800,2.25,8.00,0.281250,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
54,ESM6,2026-05-04T19:25:50.858Z,2026-05-04T15:25:50.858000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.25,TIMEOUT,1800,2.25,8.00,0.281250,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
55,ESM6,2026-05-04T19:25:51.553Z,2026-05-04T15:25:51.553000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.25,7227.00,7234.25,7235.25,7218.25,7210.25,7225.00,TIMEOUT,1800,2.00,8.25,0.242424,4.50,3.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,HIGH,WEAK,YES
